Title,Manufacturer,Author,Qualifier,Year,ModelNo,Rarity,CartType,MachineType,LController,RController,MD5,HelpUri
Summer Games,Epyx,,,1987,8056100250,Rare,A16K,A2600NTSC,,,45027dde2be5bdd0cab522b80632717d,
Summer Games,Epyx,,,1987,8056100250,Rare,A16K,A2600PAL,,,12bca8305d5ab8ea51fe1cfd95d7ab0e,
Super Action Pak - Pitf -GPrix -LaserB -Barn(1988),,,,,,,,A2600PAL,,,4f2d47792a06da224ba996c489a87939,
Super Baseball,Atari,,,1988,CX26152,Uncommon,,A2600NTSC,,,7adbcf78399b19596671edbffc3d34aa,
Super Baseball,CCE,,,,,,,A2600NTSC,,,faed2ef6b44894f8c83f2b50891c35c6,
Super Box,CCE,,,,,,A16K,A2600NTSC,,,1c85c0fc480bbd69dc301591b6ecb422,
Super Breakout,Atari,Nick Turner,,1978,CX2608,Common,,A2600NTSC,Paddles,Paddles,0ad9a358e361256b94f3fb4f2fa5a3b1,http://www.atariage.com/manual_html_page.html?SoftwareID=1372
Super Breakout,Atari,Nick Turner,,1978,CX2608,Common,,A2600PAL,Paddles,Paddles,ee4c186123d31a279ed7a84d3578df23,http://www.atariage.com/manual_html_page.html?SoftwareID=1372
Super Breakout,Atari,Nick Turner,,1978,CX2608,Common,,A2600PAL,Paddles,Paddles,8885d0ce11c5b40c3a8a8d9ed28cefef,http://www.atariage.com/manual_html_page.html?SoftwareID=1372
Super Challenge Baseball,Mattel,,,1982,MT5658,Common,,A2600PAL,,,9d37a1be4a6e898026414b8fee2fc826,
Super Challenge Football,Mattel,,,1982,MT5658,Common,,A2600NTSC,,,e275cbe7d4e11e62c3bfcfb38fca3d49,
Super Circus,,,,,,,,A2600PAL,,,feba8686fd0376015258d1152923958a,
Super Cobra,Parker Bros,,,1982,PB5320,Uncommon,PB8K,A2600NTSC,,,c29f8db680990cb45ef7fef6ab57a2c2,
Super Cobra,Parker Bros,,,1982,PB5320,Uncommon,PB8K,A2600NTSC,,,cd6b3dff86a55a4a6d23007ee360ea0e,
Super Cobra,Parker Bros,,,1982,PB5320,Uncommon,PB8K,A2600PAL,,,d326db524d93fa2897ab69c42d6fb698,
Super Ferrari,Quelle,,,,,Extremely Rare,,A2600PAL,,,724613effaf7743cbcd695fab469c2a8,
Super Ferrari,Rainbow Vision,,,,SS-011,Extremely Rare,,A2600PAL,,,638cc82ea96f67674595ba9ae05da6c6,
Super Ferrari,Starsoft,,,,SS-011,Extremely Rare,,A2600PAL,,,2b27eb194e13f3b38d23c879cc1e3abf,
Super Football,Atari,,,1988,CX26154,Uncommon,A16KR,A2600NTSC,,,09abfe9a312ce7c9f661582fdf12eab6,
Super Football,Atari,,,1988,CX26154,Uncommon,A16KR,A2600PAL,,,262ccb882ff617d9b4b51f24aee02cbe,
Super Futebol,,,,,,,,A2600NTSC,,,2447e17a4e18e6b609de498fe4ab52ba,
Super Futebol,CCE,,,,CX2668,Common,,A2600NTSC,,,2f0a8bb4e18839f9b1dcaa2f5d02fd1d,
Super Hit Pak - RRaid -GPrix -Fishing -SkyJ -Chckrs,,,,,,,,A2600PAL,,,c08d0cee43077d3055febb00e5745c1d,
Super Huey UH-IX,Atari,,,1989,CX7828,Scarce,,A7800NTSC,,,cc18e3b37a507c4217eb6cb1de8c8538,http://www.atariage.com/manual_thumbs.html?SoftwareID=2149
Super Huey UH-IX,Atari,,,1989,CX7828,Scarce,,A7800PAL,,,162f9c953f0657689cc74ab20b40280f,http://www.atariage.com/manual_thumbs.html?SoftwareID=2149
Super Kung-Fu,Xonox,,,1983,,,,A2600PAL,,,645bf7f9146f0e4811ff9c7898f5cd93,
Super Skateboardin',Absolute,,,1988,AV-047,Scarce,,A7800NTSC,,,59b5793bece1c80f77b55d60fb39cb94,http://www.atariage.com/manual_thumbs.html?SoftwareID=2150
Super Skateboardin',Absolute,,,1988,AV-047,Scarce,,A7800PAL,,,95d7c321dce8f57623a9c5b4947bb375,http://www.atariage.com/manual_thumbs.html?SoftwareID=2150
Super VoleyBall,CCE,,,,,,,A2600NTSC,,,cbc373fbcb1653b4c56bfabba33ea50d,
SuperCharger - Escape from the Mindmaster (4 of 4),Starpath,,,1982,,,,A2600NTSC,,,639ded0c9e53bc3f91defb5dde930286,
SuperCharger Loader,Starpath,,,1982,,,,A2600NTSC,,,4565c1a7abce773e53c75b35414adefd,
Super-Cowboy beim Rodeo,Starsoft,,,,,,,A2600PAL,,,bdecc81f740200780db04a107c3a1eba,
Superman,Atari,John Dunn,,1978,CX2631,Common,,A2600NTSC,,,a9531c763077464307086ec9a1fd057d,http://www.atariage.com/manual_thumbs.html?SoftwareID=1380
Superman,Atari,John Dunn,,1978,CX2631,Common,,A2600NTSC,,,5de8803a59c36725888346fdc6e7429d,http://www.atariage.com/manual_thumbs.html?SoftwareID=1380
Superman,Atari,John Dunn,,1978,CX2631,Common,,A2600PAL,,,dbb10b904242fcfb8428f372e00c01af,http://www.atariage.com/manual_thumbs.html?SoftwareID=1380
Superman,Atari,John Dunn,,1978,,,,A2600PAL,,,fd10915633aea4f9cd8b518a25d62b55,http://www.atariage.com/manual_thumbs.html?SoftwareID=1380
Superman,Atari,John Dunn,,1978,,,,A2600PAL,,,169d4c7bd3a4d09e184a3b993823d048,http://www.atariage.com/manual_thumbs.html?SoftwareID=1380
Superman,Atari,John Dunn,,1978,,,,A2600PAL,,,6fac680fc9a72e0e54255567c72afe34,http://www.atariage.com/manual_thumbs.html?SoftwareID=1380
Superman,CCE,John Dunn,,,CX2631,Common,,A2600NTSC,,,149b543c917c180a1b02d33c12415206,http://www.atariage.com/manual_thumbs.html?SoftwareID=1380
Surfer's Paradise - But Danger Below!,Video Gems,Thomas Jentzsch,Hack,,,,,A2600NTSC,,,59b70658f9dd0e2075770b07be1a35cf,
Surfer's Paradise - But Danger Below!,Video Gems,,,,,Extremely Rare,,A2600PAL,,,c20f15282a1aa8724d70c117e5c9709e,
Surf's Up,Amiga,,,,3125,Extremely Rare,,A2600NTSC,,,aec9b885d0e8b24e871925630884095c,
Surround,Atari,Alan Miller,,1978,CX2641,Common,,A2600NTSC,,,4d7517ae69f95cfbc053be01312b7dba,
Surround,Atari,Alan Miller,,1978,CX2641,Common,,A2600NTSC,,,52a0003efb3b1c49fcde4dbc2c685d8f,
Surround,Atari,Alan Miller,,1978,CX2641,Common,,A2600NTSC,,,31d08cb465965f80d3541a57ec82c625,
Surround,Atari,Alan Miller,,1978,CX2641,Common,,A2600PAL,,,c370c3268ad95b3266d6e36ff23d1f0c,
Surround,Atari,Alan Miller,,1978,,,,A2600PAL,,,d89fedded0436fdeda7c3c37e2fb7cf1,
Surround (32-in-1),Atari,Alan Miller,,,,,,A2600PAL,,,a60598ad7ee9c5ccad42d5b0df1570a1,
Survival Run,Milton Bradley,,,1983,4362,Rare,,A2600NTSC,,,85e564dae5687e431955056fbda10978,
Swordfight,Intellivision Productions,,,,,New Release,,A2600NTSC,,,87662815bc4f3c3c86071dc994e3f30e,
SwordQuest - Earthworld,Atari,Tod Frye,,1982,CX2656,Common,,A2600NTSC,,,5aea9974b975a6a844e6df10d2b861c4,
SwordQuest - Earthworld,Atari,Tod Frye,,1982,CX2656,Common,,A2600NTSC,,,05ebd183ea854c0a1b56c218246fbbae,
SwordQuest - Earthworld,Atari,Tod Frye,,1982,,,,A2600PAL,,,a875f0a919129b4f1b5103ddd200d2fe,
SwordQuest - Fireworld,Atari,Tod Frye,,1982,CX2656,Common,,A2600NTSC,,,f9d51a4e5f8b48f68770c89ffd495ed1,
SwordQuest - Fireworld,Atari,Tod Frye,,1982,CX2656,Common,,A2600PAL,,,bf976cf80bcf52c5f164c1d45f2b316b,
SwordQuest - Waterworld,Atari,Tod Frye,,1983,CX2671,Unbelievably Rare,,A2600NTSC,,,bc5389839857612cfabeb810ba7effdc,http://www.atariage.com/manual_thumbs.html?SoftwareID=1391
Synthcart,,Paul Slocum,,,,,,A2600NTSC,,,2c2aea31b01c6126c1a43e10cacbfd58,
T.F. Space Invaders,,,,,,,,A2600NTSC,,,294762000e853b4319f9991c1ced5dfc,
Tac-Scan,Sega,,,1983,001-01,Uncommon,,A2600NTSC,Paddles,Paddles,d45ebf130ed9070ea8ebd56176e48a38,
Tac-Scan,Sega,Christopher Tumber,Hack,,,,,A2600NTSC,Paddles,Paddles,9e5007131695621d06902ab3c960622a,
Tac-Scan,Sega,,,1982,,,,A2600PAL,,,06e5dc181a8eda1c31cc7c581c68b6ef,
Tank Brigade,Panda,,,,101,Rare,,A2600NTSC,,,c77d3b47f2293e69419b92522c6f6647,
